Station,Station_Name,Agency,Note_re_baseflow_analysis,Additional_notes,BF_good,RO_good,TOT_good,Annual,Seasonal,Count yrs 2000-2022,NumYears,HUC4,Region,PART_mean_in,HySpFx_mean_in,HySpLM_mean_in,HySpSL_mean_in,BFIst_mean_in,BFIMod_mean_in,max,min,mean_bf,Range
s_05243725,STRAIGHT RIVER NEAR PARK RAPIDS  MN,USGS,TONS of baseflow,Is the GW watershed the same as SW?,yes,yes,yes,yes,yes,23,31,701,central,13.68,13.46,13.25,13.47,13.23,13.21,13.68,13.21,13.38,0.47
s_05245100,LONG PRAIRIE RIVER AT LONG PRAIRIE  MN,USGS,Snowmelt dominated?  Lots of recharge,Lots of lakes in headwaters; more water now than previous decades,yes,yes,yes,yes,yes,23,51,701,central,5.21,4.99,4.38,4.99,4.42,4.39,5.21,4.38,4.73,0.83
s_05287890,ELM CREEK NR CHAMPLIN  MN,USGS,"Low flows pretty low, but looks normal",Suburban site.,yes,yes,yes,yes,yes,23,44,701,central,5.55,5.34,3.21,5.35,2.82,2.79,5.55,2.79,4.18,2.76
s_05288580,RICE CREEK BLW OLD HWY. 8 IN MOUNDS VIEW  MN,USGS,"LOTS of lakes, not good baseflow","Suburban site, lots of lakes",no,no,yes,yes,yes,14,14,701,central,6.18,6.22,5.63,6.23,5.46,5.42,6.23,5.42,5.86,0.81
s_05288705,SHINGLE CREEK AT QUEEN AVE IN MINNEAPOLIS  MN,USGS,"Flashy from urban runoff, but base looks OK","Urban, BFI looks better than others",yes,yes,yes,yes,yes,21,20,701,central,5.42,5.63,4.49,5.68,3.06,3,5.68,3,4.55,2.68
s_10067001,"Little Elk River nr Little Falls, CSAH13",Minnesota DNR,Only seasonal data; 1 yr of annual,Wetlands but no obvious lakes,yes,yes,yes,1 year,yes,6,,701,central,,,,,,,,,,
s_11015001,"Pine River nr Jenkins, CSAH15",Minnesota DNR,Several years of seasonal data,Too much SW for base flows,no,no,yes,no,yes,13,,701,central,,,,,,,,,,
s_12047001,"Partridge River nr Staples, CSAH29",Minnesota DNR,"Kind of flashy, but good enough low flows",Only seasonal records,yes,yes,yes,no,yes,11,,701,central,,,,,,,,,,
s_16023001,"Getchell Creek nr New Munich, CR176",Minnesota DNR,"Some years really ugly, so be cautious",look carefully at each month before aggregating ,yes?,yes?,yes?,no,yes,17,,701,central,,,,,,,,,,
s_17063001,"Mayhew Creek nr St. Cloud, CSAH8",Minnesota DNR,"Some years really ugly, so be cautious",look carefully at each month before aggregating ,yes?,yes?,yes?,no,yes,9,,701,central,,,,,,,,,,
s_18066001,"North Fork Crow River nr Georgeville, CSAH19",Minnesota DNR,Needs data combined - no graphs yet,,?,?,?,No,?,14,,701,central,,,,,,,,,,
s_18075003,"Wright CD31 nr Montrose, Armitage Rd",Minnesota DNR,"Low flows look ok, but need to clip carefully",can eke out some seasons,yes,yes,yes,no,yes,6,,701,central,,,,,,,,,,
s_21021001,"Rum River nr Milaca, CSAH16",Minnesota DNR,Outlet from Mille lacs lake ,Try to do totals?   Lots of SW outflow,no,no,yes,no,yes,19,,701,central,,,,,,,,,,
s_04025500,BOIS BRULE RIVER AT BRULE  WI,USGS,"LOTS of sustained base flow, very flat FDC",Good,yes,yes,yes,yes,yes,23,77,401,e-central,18.72,18.23,17.67,18.23,17.21,17.16,18.72,17.16,17.87,1.56
s_04026005,BOIS BRULE RIVER NEAR LAKE SUPERIOR  WI,USGS,"Looks good, but short period of record, duplicative","Downstream of other Bois Brule, would need to subtract",yes,yes,yes,yes,yes,2,1,401,e-central,15.47,15.26,14.94,15.3,14.78,14.78,15.47,14.78,15.09,0.69
s_04026160,SISKIWIT RIVER AT CORNUCOPIA  WI,USGS,LOTS of sustained base flow,Not a long period of record,yes,yes,yes,yes,yes,1,2,401,e-central,3.68,3.62,3.47,3.58,3.18,3.17,3.68,3.17,3.45,0.51
s_040263205, WHITTLESEY CREEK NEAR ASHLAND  WI,USGS,"LOTS of base flow, VERY flat curve",GW shed might be bigger than SW shed,yes,yes,yes,yes,yes,23,22,401,e-central,7.08,7,6.88,6.97,6.79,6.79,7.08,6.79,6.92,0.29
s_040263491, NORTH FISH CREEK NEAR MOQUAH  WI,USGS,"LOTS of base flow, VERY flat curve",,yes,yes,yes,yes,yes,9,12,401,e-central,12.58,12.3,12.06,12.32,11.55,11.52,12.58,11.52,12.06,1.06
